disc_loss,gen_loss,valid
0.04978755,-0.10598152,0.7
0.07371939,0.63281673,0.77
0.07043447,0.44888458,0.74
0.06348433,-0.51697868,0.87
0.02598057,-0.28967261,0.91
0.04803988,0.56856459,0.74
0.04139719,-0.47631615,0.65
0.03483171,-0.10394612,0.81
0.01305955,-0.35672766,0.91
0.06076356,0.22766601,0.81
0.048626,-0.40943548,0.9
0.03565093,-0.22183432,0.76
0.04856363,0.00034008,0.66
0.06225225,-0.0751967,0.67
0.03397624,-0.23116183,0.89
0.04656546,0.1299244,0.84
0.04592608,0.45459601,0.86
0.02464691,-0.22130229,0.76
0.02524983,-0.04440461,0.86
0.03165115,0.16441998,0.76
0.04327555,-0.34351769,0.87
0.03745469,0.31310549,0.93
0.08996036,-0.41119039,0.87
0.03792867,0.2832351,0.86
0.04409236,-0.24684563,0.89
0.0348809,-0.04465594,0.8
0.035021,0.227152,0.86
0.05874636,-0.46397752,0.82
0.04527696,-0.15225819,0.86
0.02529493,0.08228564,0.65
0.03436421,-0.59390527,0.9
0.08697909,0.87880272,0.69
0.03660001,0.2290037,0.91
0.06074987,0.58430099,0.7
0.05321737,0.20568299,0.86
0.05488923,-0.30228478,0.81
0.04878652,-0.00295991,0.73
0.0476312,0.11677413,0.81
0.0289984,-0.64821273,0.93
0.0630413,-0.27017733,0.93
0.04558556,0.14256595,0.87
0.04895049,-0.14067665,0.73
0.0646445,0.24134926,0.78
0.07317516,-0.36437821,0.85
0.04108598,0.24475873,0.85
0.03996359,0.02139969,0.86
0.06409194,-0.4457776,0.78
0.0207899,-0.44746393,0.84
0.05720554,0.27720514,0.73
0.04557819,0.304712,0.48
0.06165089,-0.01713529,0.75
0.02592054,-0.16533424,0.74
0.03037011,0.22858503,0.51
0.06332864,0.13701859,0.89
0.02209641,-0.15889978,0.76
0.06413548,0.07262421,0.69
0.05478736,-0.44082224,0.63
0.03529408,-0.24484634,0.71
0.04566442,-0.25443056,0.69
0.04878019,0.2408493,0.7
0.08363787,0.59717923,0.69
0.06993701,0.61866307,0.76
0.03547966,0.17427096,0.73
0.07007816,-0.06148441,0.83
0.04857757,-0.28076717,0.85
0.07187875,0.36217162,0.77
0.04597104,0.37618476,0.88
0.08245832,0.13583559,0.85
0.07343476,0.53510517,0.78
0.03979353,0.16665258,0.79
0.0161665,-0.33968884,0.8
0.03681523,0.31288424,0.85
0.03357053,-0.13544798,0.73
0.07336486,0.01283304,0.86
0.06358235,0.31785434,0.79
0.03675102,0.31222776,0.8
0.04915889,-0.30005565,0.87
0.03676765,-0.14527912,0.81
0.03250641,-0.20030031,0.61
0.04384211,0.16374648,0.76
0.06267583,0.13146281,0.71
0.03765927,-0.09720082,0.82
0.05488274,0.10751225,0.78
0.07445303,0.81843716,0.77
0.04179458,-0.29568869,0.9
0.05033635,-0.25704244,0.78
0.03421524,-0.38875821,0.8
0.04342302,-0.08388312,0.83
0.02310753,-0.33257493,0.67
0.02027568,-0.46598798,0.83
0.05609224,-0.41543669,0.67
0.02982653,0.24041478,0.83
0.05586985,-0.03514374,0.87
0.05637744,0.10106838,0.7
0.04582613,0.31311119,0.93
0.05175523,-0.14099869,0.88
0.04164482,0.37753898,0.82
0.04867204,0.44290271,0.79
0.04646309,-0.00712972,0.74
0.06153015,1.02457523,0.82
0.09298717,1.26948905,0.68
0.04081146,0.05598099,0.85
0.01779704,-0.06451706,0.79
0.03206735,0.33441299,0.8
0.01619853,-0.16018286,0.83
0.0417593,-0.26365924,0.81
0.03824503,-0.37039754,0.81
0.0298654,-0.24826264,0.81
0.04778686,-0.04438846,0.87
0.0544432,0.19943933,0.93
0.04769734,-0.40719217,0.76
0.03142858,-0.14685383,0.92
0.05742024,0.72293532,0.83
0.044403,-0.35974616,0.81
0.05658135,0.52258283,0.78
0.07414994,0.69621205,0.91
0.02603349,-0.17376813,0.78
0.0606042,0.40050653,0.87
0.04378491,-0.39691046,0.87
0.05250452,0.19554369,0.63
0.02172695,-0.30028829,0.76
0.08429602,0.2143106,0.83
0.06920759,-0.27607831,0.87
0.07627896,-0.47733507,0.87
0.03393682,-0.27725348,0.84
0.04098216,-0.29933158,0.76
0.06969018,0.15926698,0.83
0.04618733,-0.02781902,0.87
0.04656318,0.37681869,0.85
0.02644826,0.04008526,0.81
0.06394592,-0.04038114,0.85
0.06261173,-0.04281815,0.85
0.0787595,-0.19355831,0.79
0.04387596,0.07941359,0.83
0.03530293,0.61094189,0.83
0.04075898,-0.43131846,0.82
0.06244047,0.46579194,0.96
0.04512572,-0.22116053,0.82
0.03740053,-0.00868254,0.84
0.05043986,0.1389316,0.83
0.03814036,0.0062112,0.85
0.03098531,0.2491442,0.84
0.05402625,0.23774023,0.76
0.02843204,0.02850134,0.95
0.07594673,0.5723182,0.89
0.05457852,-0.05351432,0.92
0.03832889,0.0767872,0.85
0.0619728,-0.13515227,0.94
0.04694843,0.56702667,0.75
